Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0603,3,0.1uF,
C2,0603,1,0.2pF,
C3,0603,1,100pF,
C6,0603,1,0.1pF,
C7,0603,1,22uF,
C8,0603,1,4.7uF,
C9,0603,1,10pF,
IC1,LNA_PMA3-14LN+,1,PMA3-14LN+,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"L1, L2",0603,2,15nH,
R1,0603,1,510,
"SMA1, SMA2",SMA_KHD,2,~,
outline1,Outline_3x2_cavity_20230729,1,~,
