Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4, J5",TL_H,5,Conn_01x01,
"J10, J11, J6, J7, J8, J9",TL_V,6,Conn_01x01,
"SMA1, SMA10, SMA2, SMA3, SMA4, SMA5, SMA6, SMA7, SMA8, SMA9",SMA_Edge,10,~,
"SMA11, SMA12, SMA13, SMA14, SMA15, SMA16, SMA18, SMA20, SMA23, SMA24, SMA28, SMA30",SMA_KHD,12,~,
