Designator,Mid X,Mid Y,Rotation,Layer
C1,151.37,-75.67,0.0,top
C10,133.17,-106.21,225.0,top
C11,144.91,-103.82,270.0,top
C12,156.54,-105.98,315.0,top
C2,150.36,-88.76,45.0,top
C4,146.73,-90.21,315.0,top
C5,156.51,-86.25,225.0,top
C6,159.55,-96.21,180.0,top
C7,146.03,-90.93,315.0,top
C8,133.24,-86.25,135.0,top
C9,130.25,-96.22,180.0,top
D1,154.07,-79.14,180.0,top
D2,155.3798,-76.6554,0.0,top
D3,149.575,-87.42,0.0,bottom
FB1,149.869999,-86.94,180.0,top
IC1,144.89,-95.48,180.0,top
J1,139.785,-81.925,90.0,bottom
J2,149.55,-82.135,180.0,bottom
Q1,150.3525,-78.03,0.0,top
R1,142.83,-86.47,180.0,top
R2,140.46,-86.48,180.0,top
R3,138.12,-86.48,180.0,top
R4,153.14,-81.04,90.0,top
R5,146.89,-86.86,270.0,top
SMA3,160.68,-82.0866,135.0,bottom
SMA4,165.18,-96.0868,180.0,bottom
SMA5,160.68,-110.0866,135.0,bottom
SMA6,144.9934,-110.7632,90.0,bottom
SMA7,129.0368,-110.3166,315.0,bottom
SMA8,124.5368,-96.3168,0.0,bottom
SMA9,129.04,-82.28,315.0,bottom
U4,197.275051,-96.772563,0.0,top
